Parkrun,segment_id
Aberdeen,2269028
Aberystwyth,5954625
Abingdon,8073427
Albert,2138755
Aldenham,9984832
Alice Holt,8885260
Ally Pally,7133390
Alness,15891582
Andover,7376785
Antrim,5705355
Armagh,5870225
Arrow Valley,9352044
Ashford,5857167
Ashton Court,1133828
Aviemore,14857666
Aylesbury,5973701
Ayr,9342733
Banbury,8225533
Bangor,8225533
Banstead Woods,6460032
Barclay,9732296
Barking,9050846
Barnsley,
Barnstaple,6721961
Barrow,6350423
Barry Island,9339591
Basildon,
Basingstoke,9743085
Bath Skyline,8261463
Beckenham Place,13818950
Beckton,
Bedfont Lakes,15430468
Bedford,7625618
Bedgebury Pinetum,12392816
Beeston,7233557
Belfast Victoria,7978147
Belton House,10831940
Bestwood Village,14000750
Bevendean Down,11335489
Bexley,
Bicester,14737332
Bideford,14075581
Billericay,15302332
Birkenhead,9984220
Black Park,3659918
Blackhill,5541512
Blackpool,14151497
Blandford,8272892
Blickling,6001501
Bognor Regis,7302259
Bolton,4885924
Boston,11044381
Bournemouth,5486810
Bracknell,14234672
Bradford,2610124
Bramhall Park,5097427
Bramley,9715291
Brandon Country Park,9297018
Braunstone,3815431
Brentwood,10170870
Brierley Forest,13819702
Brighouse,13000034
Brighton & Hove,
Brockenhurst,4207281
Brockwell,3765009
Bromley,9403023
Brueton,11376346
Brundall,9769502
Bryn Bach,5974070
Buckingham,7227687
Burgess,2965651
Burnage,3631537
Burnham and Highbridge,
Burnham-on-Crouch,
Burnley,10628510
Bury St Edmunds,
Bushy Park,13948572
Caldicot,15556470
Cambridge,15345578
Camperdown,1492836
Cannock Chase,13445950
Cannon Hill,11333174
Canons Park,13492903
Canterbury,12701103
Cardiff,14378107
Carlisle,8653968
Carrickfergus,11764480
Cassiobury,8983572
Catterick,15568429
Catton,15620095
Chadderton Hall,12334091
Cheadle Hulme,14280249
Chelmsford Central,3861038
Cheltenham,7948865
Chester,12571492
Chichester,12207870
Chippenham,7580661
Chipping Sodbury,6670589
Citypark,
Clacton Seafront,13442955
Clair,4415156
Cleethorpes,8654009
Clumber Park,4556641
Colby,
Colchester Castle,3796931
Colin Glen,11130126
Colwick,7965206
Comber,
Concord,8674355
Congleton,7038919
Conkers,2579304
Conwy,8695141
Corby,5553141
Coventry,6078976
Crane Park,1530981
Cranleigh,8272943
Crosby,14325236
Cross Flatts,
Croxteth Hall,9101154
Crystal Palace,8576689
Cuerden Valley,6410424
Cwmbran,12637148
Dalby Forest,13152970
Darlington South Park,7791899
Dartford,7275366
Daventry,8475895
Delamere,9609062
Derry City,5870123
Dewsbury,1651579
Didcot,8887247
Dolgellau,11345279
Doncaster,8882772
Drumchapel,12509672
Druridge Bay,8153975
Dudley,14019354
Dulwich,6782301
Dunfermline,9873720
Durham,1428536
East Grinstead,
Eastbourne,3879579
Eastleigh,11769196
Ecos,4271207
Edinburgh,1531025
Eglinton,4280047
Elgin,11462091
Ellenbrook Fields,13217461
Ellesmere Port,
Ellon,10891497
Enniskillen,13391334
Erddig,12142038
Evesham,9099431
Exeter Riverside,7792561
Falkirk,8791343
Falls,6070953
Fareham,11768625
Fell Foot,8358074
Finsbury Park,6069928
Folkestone,7964323
Forest of Dean,
Forest Rec,3765453
Fountains Abbey,6774114
Frimley Lodge,7702722
Fritton Lake,4113120
Fulham Palace,8466366
Gadebridge,9390369
Gainsborough,
Ganavan Sands,12957681
Gateshead,7087264
Gedling,10343629
Gibside,12906277
Gladstone,13854774
Glossop,10336891
Gloucester North,14732788
Gnoll,10707108
Goole,9770396
Gorleston,3443739
Grangemoor,10758315
Graves,9370675
Great Cornard,14800547
Great Lines,5640964
Great Notley,7527705
Greenock,7627524
Greenwich,8357243
Grovelands,11550747
Guernsey,
Guildford,10510372
Gunnersbury,5289637
Gunpowder,
Hackney Marshes,4976224
Hackworth,6195488
Hadleigh,15215356
Haigh Woodland,10832031
Halifax,10400259
Hampstead Heath,9873915
Hanley,6352428
Harcourt Hill,10792501
Harlow,8878991
Harrogate,2434690
Harrow,9442971
Harrow Lodge,5809839
Hartlepool,7093790
Harwich,12633808
Hastings,13442620
Hatfield Forest,9660804
Havant,8211940
Hazlehead,9497100
Heartwood Forest,14302443
Heaton Park,2476337
Henley-on-Thames,16049624
Hereford,10981312
Highbury Fields,11250664
Hillsborough,11709412
Hilly Fields,15979090
Hoblingwell,15428351
Hockley Woods,10532498
Holkham,11293116
Homewood,14234343
Horsham,10224389
Horton Park,9660496
Hove Promenade,12956147
Huddersfield,4798706
Hull,5151717
Humber Bridge,13901849
Huntingdon,15637348
Hyde,13939127
Inverness,14557191
Ipswich,15179894
Jersey,10555557
Kesgrave,8143910
Keswick,6956280
Kettering,13337018
Killerton,14322561
Kingsbury Water,5486352
Kingston,801938
Kingsway,10343591
Kings Lynn,12821178
Kirkcaldy,8916449
Knowsley,13783967
Lancaster,11148361
Lanhydrock,7011971
Larne,9060164
Leamington,1227278
Lee-on-the-Solent,8883803
Leicester Victoria,13710549
Limavady,9564062
Lincoln,6043752
Linford Wood,12531685
Linwood,12521040
Livingston,12012811
Llanelli Coast,13612524
Lloyd,
Llyn Llech Owain,4817825
Long Eaton,11172040
Longrun Meadow,15890575
Lowestoft,12364765
Ludlow,11375839
Lullingstone,9387900
Luton Wardown,13024175
Lydney,11131418
Lyme Park,6676666
Lymington Woodside,13974877
Lytham Hall,11129558
Maesteg,15499041
Maidenhead,9099497
Maidstone,5349124
Maldon Prom,5515381
Malling,10607303
Mansfield,11461976
March,13845893
Margate,4104061
Markeaton,12050549
Market Harborough,11653047
Marple,4556058
Medina I.O.W.,9231788
Melton Mowbray,8885253
Mersea Island,
Merthyr,14673248
Mile End,8950740
Millom,13819116
Milton Keynes,
Minehead,13152318
Montrose,15365284
Moors Valley,11215381
Mount Edgcumbe,
Mulbarton,4342265
MUSA Cookstown,4428494
Netley Abbey,4818860
Newark,9443135
Newbury,15175916
Newcastle,7209297
Newent,5156411
Newport,10160920
Nonsuch,6201438
Northala Fields,7583007
Northallerton,10104724
Northampton,1702130
Norwich,7182671
Nostell,10701832
Oak Hill,6118135
Oakwell Hall,7792147
Old Deer Park,
Oldham,
Omagh,
Ormeau,
Ormskirk,
Orpington,
Osterley,
Oxford,
Panshanger,
Parke,
Peacehaven,
Peckham Rye,
Pegwell Bay,
Penallta,
Pendle,
Pennington Flash,
Penrhyn,
Penrith,
Penrose,
Perry Hall,
Perth,
Peter Pan,
Peterborough,
Phoenix,
Plymvalley,
Pollok,
Pomphrey Hill,
Pontefract,
Pontypool,
Pontypridd,
Poole,
Poolsbrook,
Porthcawl,
Portobello,
Portrush,
Portsmouth Lakeside,
Preston,
Preston Park,
Princes,
Prudhoe Riverside,
Pymmes,
Queen Elizabeth,
Queens,
Raphael,
Reading,
Redcar,
Reigate Priory,
Richmond Park,
Rickmansworth,
Riddlesdown,
Rising Sun,
Riverfront,
Riverside,
Roding Valley,
Rosliston,
Rostrevor,
Rother Valley,
Rotherham,
Rothwell,
Roundhay,
Roundshaw Downs,
Royal Tunbridge Wells,
Ruchill,
Rugby,
Rushcliffe,
Rushmere,
Rushmoor,
Rutland Water,
Salisbury,
Scunthorpe,
Seaton,
Sedgefield,
Sewerby,
Sheffield Castle,
Sheffield Hallam,
Shepton Mallet,
Sheringham,
Sherwood Pines,
Shipley Country,
Shorne Woods,
Shrewsbury,
Sittingbourne,
Skipton,
South Manchester,
South Norwood,
South Oxhey,
South Shields,
Southampton,
Southend,
Southport,
Southsea,
Southwark,
Southwick Country Park,
Springburn,
St Albans,
St Andrews,
St Helens,
Stamford Park,
Stevenage,
Stewart,
Stonehaven,
Stonehouse,
Stormont,
Stratford-upon-Avon,
Strathclyde,
Stretford,
Sunderland,
Swansea Bay,
Swindon,
Tamar Lakes,
Tamar Trails,
Tees Barrage,
Telford,
Temple Newsam,
Tewkesbury,
Thetford,
Thurrock,
Tilgate,
Tollcross,
Tonbridge,
Tooting Common,
Torbay Velopark,
Trelissick,13802495
Tring,
Upton Court,
Upton House,
Valentines,
Valley,
Victoria,
Vogrie,
Wakefield Thornes,
Wallace,
Walsall Arboretum,
Walthamstow,
Wanstead Flats,
Warrington,
Watergrove,
Waterworks,
Wepre,
Westmill,
Wetherby,
Weymouth,
Whiteley,
Whitley Bay,
Whitstable,
Widnes,
Wilmslow,
Wimbledon Common,
Wimpole Estate,
Winchester,
Witton,
Woking,
Wolverhampton,
Woodbank,
Woodhouse Moor,
Woodley,
Worcester,
Worcester Pitchcroft,
Workington,
Wormwood Scrubs,
Worsley Woods,4203011
Worthing,
Wotton,
Wycombe Rye,
Wyre Forest,
Wythenshawe,
Yeovil Montacute,
York,